Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
4671 Barchon,House,Residence,219000.0,for sale,5.0,209.0,1.0,0.0,,1.0,49.0,0.0,,384.0,,3.0,0.0,To renovate
4987 Stoumont,House,Residence,879000.0,for sale,4.0,649.0,1.0,1.0,1.0,1.0,145.0,1.0,18532.0,19547.0,,4.0,1.0,Excellent
1190 Vorst,Apartment,Apartment,485000.0,for sale,2.0,140.0,,0.0,0.0,0.0,,0.0,,,,,,Excellent
8480 Ichtegem,House,Residence,240000.0,for sale,3.0,119.0,,,,1.0,,1.0,,2254.0,,4.0,,
1980 Eppegem,Apartment,Apartment,366217.0,for sale,2.0,104.0,,,,1.0,,1.0,,,,,,
1700 Dilbeek,House,Residence,449000.0,for sale,3.0,158.0,,0.0,,1.0,,1.0,,240.0,,,,To be renovated
1400 Nivelles,Apartment,Duplex,315000.0,for sale,2.0,94.0,,,,,,,,,,2.0,,Normal
1790 Hekelgem,House,Residence,385550.0,for sale,3.0,329.0,0.0,,,,,1.0,,,,3.0,,Excellent
6780 Messancy,House,Residence,426000.0,for sale,5.0,307.0,1.0,,,1.0,36.0,1.0,,,,,,
9160 Lokeren,House,Residence,425000.0,for sale,3.0,222.0,0.0,,,1.0,,1.0,,305.0,,2.0,0.0,Normal
5060 Tamines,House,Residence,180000.0,for sale,4.0,308.0,,0.0,,0.0,,0.0,,,,,,
4100 Seraing,House,Mixed Building,198000.0,for sale,1.0,,,0.0,,0.0,,1.0,86.0,289.0,,2.0,0.0,To be renovated
1460 Ittre,House,Villa,1150000.0,for sale,4.0,260.0,0.0,0.0,,1.0,50.0,1.0,,24080.0,,4.0,0.0,Excellent
5541 Hastiere Par Dela,House,Residence,74000.0,for sale,2.0,65.0,,1.0,1.0,1.0,15.0,1.0,42.0,,,,,To be renovated
7711 Dottignies,House,Villa,800000.0,for sale,5.0,435.0,,,,1.0,,1.0,,778.0,,4.0,1.0,
1030 Schaarbeek,Apartment,Apartment,129000.0,for sale,1.0,31.0,,1.0,,0.0,,0.0,,,,,,Excellent
1070 Anderlecht,Apartment,Studio,105000.0,for sale,,23.0,0.0,0.0,,0.0,,0.0,,,,,0.0,Normal
2580 Beerzel,Apartment,Apartment,261793.0,for sale,1.0,77.0,,,,1.0,,1.0,,,,4.0,,New
1330 Rixensart,House,Villa,475000.0,for sale,2.0,120.0,,0.0,1.0,1.0,20.0,1.0,,384.0,,4.0,0.0,Normal
8380 Zeebrugge,Apartment,Apartment,469000.0,for sale,2.0,100.0,1.0,,,1.0,,,,,,2.0,,Excellent
9300 Aalst,Apartment,Duplex,145000.0,for sale,2.0,,,,,0.0,,0.0,,,,,,
1400 Nivelles,House,Residence,310000.0,for sale,3.0,120.0,1.0,,,1.0,,1.0,70.0,125.0,,2.0,0.0,Normal
3680 Neeroeteren,House,Residence,340500.0,for sale,3.0,,,,,0.0,,1.0,,462.0,,3.0,,
8660 De Panne,Apartment,Apartment,250000.0,for sale,1.0,66.0,,,,1.0,,0.0,,,,,,
9160 Lokeren,Apartment,Apartment,175000.0,for sale,1.0,55.0,,1.0,,1.0,,1.0,,,,,,Excellent
8610 Kortemark,House,Residence,420000.0,for sale,5.0,262.0,,,,1.0,,1.0,,1530.0,,4.0,,
7850 Enghien,House,Master House,309000.0,for sale,5.0,213.0,,0.0,,1.0,41.0,0.0,,150.0,,2.0,,Normal
2050 Antwerp,Apartment,Apartment,220000.0,for sale,3.0,105.0,,,,1.0,,1.0,,,,,,
4550 Nandrin,House,Residence,419000.0,for sale,3.0,170.0,,0.0,,1.0,20.0,1.0,,796.0,,,,Fully renovated
1400 Nivelles,Apartment,Apartment,230000.0,for sale,3.0,150.0,,0.0,,0.0,,0.0,,,,2.0,,To be renovated
6840 Neufchateau,House,Residence,195000.0,for sale,3.0,,,0.0,,0.0,,0.0,,228.0,,2.0,,Normal
2310 Rijkevorsel,House,Residence,199000.0,for sale,2.0,76.0,,0.0,,1.0,,0.0,,,,4.0,,Excellent
9300 Aalst,Apartment,Apartment,335000.0,for sale,2.0,86.0,,0.0,0.0,1.0,12.0,0.0,,,,,,New
8434 Westende,Apartment,Apartment,168000.0,for sale,1.0,60.0,,1.0,,1.0,,1.0,,,,,,To be renovated
4630 Soumagne,House,Residence,339000.0,for sale,3.0,209.0,,,,0.0,,1.0,200.0,550.0,,3.0,,
1785 Merchtem,House,Residence,474000.0,for sale,7.0,378.0,,0.0,,1.0,,1.0,,369.0,,2.0,,To be renovated
1400 Nivelles,House,Residence,295000.0,for sale,4.0,180.0,1.0,0.0,1.0,1.0,30.0,1.0,321.0,321.0,,2.0,0.0,Normal
8310 Assebroek,House,Residence,439000.0,for sale,4.0,160.0,,,,1.0,20.0,1.0,,180.0,,2.0,,
1030 Schaarbeek,Apartment,Studio,179000.0,for sale,,40.0,,0.0,,0.0,,0.0,,,,,,Normal
4100 Seraing,House,Residence,109000.0,for sale,2.0,58.0,1.0,0.0,,0.0,,1.0,210.0,41.0,,2.0,0.0,Normal
1170 Watermaal Bosvoorde,Apartment,Triplex,585000.0,for sale,4.0,106.0,,,,0.0,,0.0,,,,4.0,,
4000 Liege,House,Residence,499000.0,for sale,6.0,470.0,0.0,0.0,,1.0,20.0,1.0,860.0,1057.0,,4.0,0.0,Excellent
1500 Halle,House,Residence,360000.0,for sale,2.0,116.0,,,,1.0,,1.0,,556.0,,4.0,,
3900 Pelt,Apartment,Apartment,285000.0,for sale,2.0,94.0,,,,1.0,9.0,1.0,,,,,,New
4700 Eupen,House,Residence,425000.0,for sale,5.0,331.0,,,,0.0,,0.0,,,,,,
6600 Bastogne,House,Residence,415000.0,for sale,4.0,180.0,,,,1.0,29.0,0.0,,180.0,,,,Excellent
8620 Nieuwpoort,Apartment,Apartment,390000.0,for sale,2.0,70.0,,1.0,,1.0,,1.0,,,,2.0,1.0,Excellent
7090 Braine Le Comte,Apartment,Duplex,140000.0,for sale,3.0,150.0,,0.0,,1.0,25.0,0.0,,,,2.0,0.0,To be renovated
,,,,,,,,,,,,,,,,,,
6900 Marche En Famenne,Apartment,Apartment,186000.0,for sale,2.0,86.0,,0.0,,0.0,,0.0,,,,,,
7370 Dour,House,Residence,205000.0,for sale,4.0,165.0,,0.0,,1.0,,1.0,,225.0,,2.0,,
2560 Nijlen,House,Bungalow,349000.0,for sale,2.0,118.0,,,,0.0,,1.0,100.0,340.0,,,,Fully renovated
3454 Rummen,House,Residence,275000.0,for sale,3.0,205.0,,,,0.0,,1.0,,745.0,,,,
8670 Koksijde,Apartment,Apartment,448000.0,for sale,3.0,120.0,,1.0,,1.0,,0.0,,,,,,Excellent
7000 Mons,Apartment,Apartment,283000.0,for sale,2.0,97.0,,0.0,,1.0,6.0,0.0,,,,4.0,,New
4020 Liege,House,Master House,470000.0,for sale,6.0,254.0,0.0,0.0,,1.0,20.0,0.0,,,,2.0,0.0,Normal
6980 La Roche En Ardenne,House,Residence,,for sale,3.0,134.0,,,,1.0,,1.0,,855.0,,,,New
2600 Berchem,Apartment,Apartment,175000.0,for sale,1.0,45.0,1.0,0.0,,0.0,,0.0,,,,2.0,0.0,Excellent
4032 Chenee,House,Residence,219000.0,for sale,2.0,100.0,,0.0,,1.0,30.0,1.0,80.0,180.0,,2.0,0.0,Normal
7060 Soignies,House,Master House,480000.0,for sale,6.0,580.0,,,,1.0,54.0,1.0,592.0,2256.0,,4.0,0.0,To be renovated
8310 Assebroek,House,Residence,480000.0,for sale,3.0,,,,,0.0,,1.0,,298.0,,4.0,0.0,New
7060 Soignies,House,Residence,355000.0,for sale,4.0,138.0,,,,1.0,23.0,1.0,160.0,263.0,,2.0,,
1601 Ruisbroek,House,Residence,,for sale,3.0,190.0,,,,0.0,,0.0,,137.0,,,,Normal
1040 Etterbeek,Apartment,Penthouse,995000.0,for sale,3.0,198.0,,0.0,,1.0,,,,,,2.0,,New
9800 Deinze,House,Residence,465000.0,for sale,3.0,193.0,1.0,,,1.0,,1.0,,1267.0,,3.0,0.0,Normal
1180 Ukkel,Apartment,Apartment,800000.0,for sale,3.0,167.0,,,0.0,1.0,50.0,0.0,,,,,,Normal
1490 Court Saint Etienne,Apartment,Apartment,197000.0,for sale,1.0,57.0,0.0,0.0,,1.0,10.0,0.0,,,,,0.0,New
7543 Mourcourt,House,Cottage,649000.0,for sale,4.0,235.0,0.0,0.0,,1.0,,1.0,8064.0,8064.0,,4.0,0.0,To be renovated
1740 Ternat,House,Residence,369000.0,for sale,5.0,250.0,,0.0,,1.0,46.0,1.0,,188.0,,2.0,,Excellent
8620 Nieuwpoort,Apartment,Apartment,509510.0,for sale,2.0,101.0,,,,1.0,,1.0,,,,,,New
1000 Brussels,Apartment,Penthouse,1495000.0,for sale,3.0,197.0,0.0,,,1.0,58.0,,,,,4.0,,New
3900 Pelt,Apartment,Apartment,336000.0,for sale,2.0,99.0,,,,1.0,13.0,1.0,,,,,,New
4480 Engis,House,Residence,165000.0,for sale,2.0,70.0,1.0,0.0,,0.0,,0.0,,68.0,,3.0,0.0,New
8301 Duinbergen,Apartment,Apartment,995000.0,for sale,2.0,96.0,,1.0,,1.0,10.0,1.0,,,,2.0,,
9100 Sint Niklaas,Apartment,Apartment,277500.0,for sale,2.0,89.0,,0.0,,1.0,14.0,1.0,,,,2.0,,Excellent
2530 Boechout,House,Mixed Building,825000.0,for sale,,170.0,,0.0,,0.0,,1.0,,,,,,Normal
4040 Herstal,Apartment,Apartment,160000.0,for sale,3.0,102.0,1.0,,,,,,,,,2.0,0.0,Normal
1140 Evere,Apartment,Duplex,499000.0,for sale,3.0,160.0,0.0,0.0,,1.0,25.0,,,,,,,Excellent
7300 Boussu,House,Residence,239000.0,for sale,5.0,196.0,1.0,0.0,,1.0,35.0,1.0,294.0,825.0,,3.0,0.0,
7700 Luingne,House,Residence,219000.0,for sale,2.0,124.0,,,,,,,,108.0,,2.0,,
2431 Varendonk,House,Residence,330000.0,for sale,3.0,210.0,,0.0,,1.0,,1.0,,1341.0,,4.0,,Normal
7000 Mons,House,Residence,159000.0,for sale,3.0,175.0,,,,1.0,,1.0,,,,2.0,0.0,To renovate
8573 Tiegem,House,Residence,329000.0,for sale,3.0,140.0,0.0,0.0,,1.0,,1.0,111.0,212.0,,2.0,0.0,New
2500 Lier,Apartment,Ground Floor,286981.0,for sale,2.0,91.0,,0.0,,1.0,16.0,0.0,,,,2.0,,New
8790 Waregem,House,Residence,499000.0,for sale,4.0,,,,,1.0,,0.0,,360.0,,,,Excellent
9000 Gent,House,Master House,675000.0,for sale,6.0,255.0,0.0,,,1.0,,,,101.0,,2.0,0.0,Normal
2880 Bornem,House,Residence,875000.0,for sale,3.0,248.0,0.0,,,1.0,,1.0,,6643.0,,4.0,1.0,Normal
9320 Erembodegem,Apartment,Apartment,235000.0,for sale,1.0,53.0,,,,1.0,,0.0,,,,,,Excellent
1380 Lasne,House,Residence,695000.0,for sale,3.0,175.0,0.0,0.0,1.0,1.0,,1.0,,1647.0,,4.0,0.0,Normal
1050 Elsene,Apartment,Apartment,560000.0,for sale,3.0,110.0,0.0,0.0,,1.0,6.0,0.0,,,,2.0,0.0,Excellent
2200 Herentals,House,Residence,,for sale,3.0,121.0,,,,0.0,,1.0,,173.0,,,,To be renovated
4520 Wanze,Apartment,Apartment,179000.0,for sale,2.0,65.0,,0.0,,1.0,4.0,0.0,,,,,,To renovate
6240 Farciennes,House,Residence,139000.0,for sale,2.0,118.0,,0.0,,1.0,39.0,1.0,,450.0,,2.0,,To be renovated
1200 Sint Lambrechts Woluwe,Apartment,Apartment,595000.0,for sale,3.0,130.0,1.0,0.0,,1.0,12.0,0.0,,,,4.0,0.0,Normal
9308 Gijzegem,House,Residence,435000.0,for sale,3.0,149.0,,,,0.0,,1.0,,609.0,,3.0,,New
3545 Halen,House,Residence,255000.0,for sale,3.0,156.0,1.0,0.0,,1.0,,1.0,,627.0,,3.0,,Normal
2570 Duffel,House,Residence,349000.0,for sale,3.0,129.0,,0.0,,1.0,,0.0,,86.0,,3.0,,Normal
6688 Longchamps,House,Residence,438000.0,for sale,5.0,212.0,,,,,,,,,,,,
6200 Chatelet,House,Residence,130000.0,for sale,2.0,120.0,,0.0,,0.0,,0.0,,,,2.0,,To be renovated
3650 Dilsen Stokkem,House,Residence,249000.0,for sale,1.0,72.0,,,,1.0,,1.0,,810.0,,4.0,,
9140 Temse,House,Residence,379000.0,for sale,5.0,170.0,,0.0,,1.0,29.0,1.0,200.0,311.0,,3.0,,Normal
9630 Beerlegem,House,Residence,550413.0,for sale,3.0,190.0,,,,,,,,1376.0,,4.0,,New
8500 Kortrijk,House,Residence,525000.0,for sale,4.0,172.0,0.0,,,1.0,39.0,1.0,51.0,,,2.0,,
9120 Beveren,House,Residence,749000.0,for sale,5.0,314.0,,,,0.0,,0.0,,2136.0,,,1.0,Normal
9050 Gentbrugge,Apartment,Apartment,395000.0,for sale,2.0,99.0,0.0,0.0,,1.0,13.0,0.0,,,,2.0,0.0,New
9000 Gent,House,Residence,159000.0,for sale,3.0,139.0,,0.0,,1.0,,0.0,,65.0,,,,To be renovated
9042 Desteldonk,House,Residence,390000.0,for sale,3.0,457.0,1.0,,,1.0,40.0,,,310.0,,4.0,0.0,Normal
1083 Ganshoren,Apartment,Apartment,275000.0,for sale,2.0,90.0,0.0,0.0,,1.0,8.0,0.0,,,,2.0,0.0,Excellent
1731 Zellik,Apartment,Apartment,292030.0,for sale,2.0,76.0,0.0,0.0,,1.0,16.0,,,,,,,Excellent
1140 Evere,Apartment,Apartment,345000.0,for sale,3.0,96.0,1.0,1.0,,1.0,5.0,0.0,,,,,0.0,Normal
4610 Beyne Heusay,House,Residence,299000.0,for sale,4.0,191.0,,,,1.0,,1.0,,390.0,,3.0,,Normal
1980 Eppegem,House,Residence,419000.0,for sale,4.0,270.0,0.0,,,1.0,,1.0,,409.0,,3.0,,
6000 Charleroi,House,Residence,598000.0,for sale,5.0,600.0,,,,0.0,,0.0,,250.0,,2.0,,
1853 Strombeek Bever,House,Residence,389000.0,for sale,3.0,120.0,1.0,0.0,,1.0,20.0,1.0,140.0,209.0,,2.0,0.0,
2060 Antwerp,Apartment,Apartment,174999.0,for sale,2.0,59.0,,0.0,,1.0,5.0,0.0,,,,2.0,,Normal
8780 Oostrozebeke,House,Residence,198000.0,for sale,3.0,144.0,,,,1.0,,1.0,584.0,889.0,,,,To be renovated
2560 Nijlen,Apartment,Apartment,332000.0,for sale,1.0,97.0,,0.0,,1.0,23.0,0.0,,,,4.0,,New
8370 Blankenberge,Apartment,Apartment,185000.0,for sale,2.0,54.0,,,,0.0,,0.0,,,,,,
6200 Bouffioulx,House,Mixed Building,800000.0,for sale,6.0,158.0,1.0,0.0,,1.0,,,,870.0,,2.0,0.0,Normal
9600 Ronse,Apartment,Duplex,510000.0,for sale,4.0,260.0,0.0,1.0,,1.0,65.0,0.0,,,,3.0,0.0,Excellent
9140 Temse,House,Residence,645000.0,for sale,4.0,243.0,,,,,,,,581.0,,,,To renovate
4000 Liege,Apartment,Apartment,399000.0,for sale,4.0,137.0,1.0,1.0,,1.0,20.0,0.0,,,,2.0,0.0,Excellent
1080 Sint Jans Molenbeek,House,Residence,499000.0,for sale,3.0,165.0,,0.0,1.0,1.0,40.0,1.0,150.0,234.0,,,,Normal
3600 Genk,Apartment,Apartment,179000.0,for sale,2.0,65.0,,,,1.0,,0.0,,,,3.0,,
4000 Liege,Apartment,Apartment,260000.0,for sale,2.0,93.0,,0.0,,1.0,4.0,0.0,,,,,,Normal
1982 Weerde,Apartment,Ground Floor,449500.0,for sale,2.0,113.0,0.0,0.0,,1.0,15.0,1.0,212.0,,,3.0,0.0,New
9900 Eeklo,House,Residence,350000.0,for sale,3.0,126.0,,,,0.0,,1.0,,112.0,,2.0,,
9240 Zele,House,Residence,210000.0,for sale,3.0,146.0,,0.0,,0.0,,1.0,,274.0,,2.0,,To be renovated
9000 Gent,Apartment,Apartment,489000.0,for sale,4.0,134.0,0.0,0.0,,1.0,27.0,1.0,,,,3.0,0.0,New
5560 Houyet,House,Residence,650000.0,for sale,11.0,700.0,,1.0,,1.0,,1.0,,3020.0,,4.0,,
9230 Wetteren,House,Residence,885000.0,for sale,9.0,315.0,,,,1.0,,1.0,1100.0,1100.0,,4.0,,Normal
1800 Vilvoorde,House,Residence,480000.0,for sale,6.0,225.0,0.0,0.0,,1.0,20.0,1.0,70.0,191.0,,2.0,0.0,
7900 Leuze En Hainaut,Apartment,Apartment,200000.0,for sale,2.0,83.0,,,,,,,,,,2.0,,Normal
8020 Ruddervoorde,House,Residence,465000.0,for sale,3.0,,,,,0.0,,1.0,,1929.0,,4.0,1.0,To be renovated
1083 Ganshoren,Apartment,Apartment,199000.0,for sale,2.0,91.0,,0.0,,1.0,11.0,0.0,,,,3.0,,
1180 Ukkel,House,Residence,620000.0,for sale,3.0,203.0,,,,1.0,,1.0,1.0,287.0,,,,To be renovated
2170 Merksem,House,Residence,319000.0,for sale,5.0,165.0,,0.0,,1.0,20.0,1.0,112.0,,,,,Normal
2100 Deurne,Apartment,Apartment,325000.0,for sale,1.0,92.0,,0.0,,1.0,7.0,1.0,,,,2.0,,Excellent
5300 Andenne,Apartment,Apartment,360000.0,for sale,2.0,127.0,,,,1.0,,0.0,,,,,0.0,Excellent
1090 Jette,Apartment,Apartment,169000.0,for sale,1.0,60.0,0.0,0.0,,1.0,2.0,,,,,2.0,0.0,To renovate
6980 La Roche En Ardenne,House,Residence,460000.0,for sale,5.0,321.0,1.0,1.0,,1.0,,1.0,,522.0,,4.0,,Excellent
3581 Beverlo,House,Residence,425450.0,for sale,3.0,125.0,0.0,0.0,,,,1.0,,,,3.0,,New
6110 Montigny Le Tilleul,House,Residence,399000.0,for sale,3.0,173.0,,0.0,,1.0,25.0,1.0,,2941.0,,,,To be renovated
5542 Blaimont,House,Chalet,59000.0,for sale,2.0,42.0,,1.0,,1.0,16.0,1.0,280.0,280.0,,4.0,,Excellent
1050 Elsene,Apartment,Penthouse,595000.0,for sale,2.0,107.0,,,0.0,1.0,7.0,0.0,,,,2.0,,New
7090 Braine Le Comte,House,Residence,595000.0,for sale,3.0,240.0,0.0,,,1.0,28.0,1.0,530.0,1160.0,,4.0,,Normal
8800 Roeselare,House,Master House,650000.0,for sale,6.0,420.0,0.0,0.0,,1.0,,1.0,870.0,1139.0,,2.0,0.0,Normal
6240 Farciennes,House,Residence,150000.0,for sale,2.0,134.0,,0.0,,1.0,,1.0,,140.0,,,,
1060 Sint Gillis,Apartment,Penthouse,865000.0,for sale,4.0,200.0,0.0,,,1.0,,0.0,,,,2.0,0.0,Excellent
4000 Liege,House,Residence,120000.0,for sale,1.0,77.0,,,,0.0,,0.0,,50.0,,,,To be renovated
4550 Nandrin,House,Residence,568177.0,for sale,4.0,190.0,,,,,,1.0,,2550.0,,4.0,,New
6140 Fontaine L Eveque,House,Residence,585000.0,for sale,5.0,275.0,,0.0,,1.0,60.0,0.0,,3306.0,,3.0,,Normal
9052 Zwijnaarde,Apartment,Apartment,429210.0,for sale,2.0,100.0,0.0,0.0,,1.0,13.0,1.0,,,,3.0,0.0,New
1785 Merchtem,House,Residence,529000.0,for sale,4.0,239.0,,0.0,,1.0,,1.0,,1149.0,,3.0,,Normal
1745 Opwijk,House,Residence,730000.0,for sale,5.0,289.0,,0.0,,1.0,,1.0,,,,4.0,,Normal
1420 Braine L Alleud,House,Master House,985000.0,for sale,5.0,310.0,1.0,,1.0,1.0,,1.0,,800.0,,2.0,,Normal
1070 Anderlecht,Apartment,Apartment,229000.0,for sale,1.0,84.0,,0.0,,0.0,,0.0,,,,,,
1000 Brussels,Apartment,Penthouse,479000.0,for sale,3.0,126.0,,0.0,,1.0,27.0,0.0,,,,2.0,,Normal
9000 Gent,Apartment,Apartment,265000.0,for sale,1.0,62.0,,,,1.0,12.0,0.0,,,,,,
1200 Sint Lambrechts Woluwe,House,Residence,500000.0,for sale,3.0,122.0,,,,1.0,,0.0,,,,,,
5300 Andenne,House,Residence,319000.0,for sale,2.0,125.0,,,0.0,1.0,89.0,1.0,,1256.0,,,,Normal
9000 Gent,Apartment,Apartment,769000.0,for sale,2.0,124.0,,,,1.0,30.0,0.0,,,,2.0,,Excellent
1040 Etterbeek,Apartment,Apartment,125000.0,in public sale,1.0,,,,,0.0,,0.0,,,,,,
1030 Schaarbeek,Apartment,Duplex,359000.0,for sale,3.0,132.0,,0.0,,1.0,,0.0,,,,2.0,,Normal
5377 Hogne,House,Chalet,199000.0,for sale,2.0,86.0,,0.0,,1.0,,1.0,1160.0,1160.0,,4.0,,Fully renovated
6890 Libin,House,Residence,240000.0,for sale,4.0,143.0,0.0,0.0,,1.0,26.0,1.0,341.0,585.0,,4.0,0.0,Normal
6141 Forchies La Marche,House,Residence,427165.0,for sale,3.0,184.0,,,,,,1.0,,1168.0,,4.0,,New
1320 Beauvechain,House,Villa,540000.0,for sale,4.0,198.0,,0.0,,1.0,118.0,1.0,558.0,739.0,,4.0,0.0,To renovate
4020 Liege,House,Residence,329000.0,for sale,6.0,170.0,1.0,0.0,,1.0,12.0,1.0,4.0,85.0,,2.0,0.0,Normal
4681 Hermalle Sous Argenteau,Apartment,Apartment,291000.0,for sale,2.0,90.0,0.0,0.0,,1.0,9.0,1.0,,,,2.0,,New
9880 Aalter,Apartment,Apartment,285000.0,for sale,,,,,,1.0,,1.0,,,,3.0,,New
1080 Sint Jans Molenbeek,House,Residence,349000.0,for sale,5.0,154.0,,0.0,,0.0,,1.0,10.0,,,2.0,0.0,To renovate
1357 Helecine,House,Residence,775000.0,for sale,3.0,355.0,1.0,,,,,1.0,,,,4.0,,Excellent
2861 Onze Lieve Vrouw Waver,House,Villa,965000.0,for sale,3.0,166.0,0.0,0.0,,1.0,50.0,1.0,,837.0,,4.0,,
4100 Seraing,House,Residence,459000.0,for sale,3.0,120.0,1.0,0.0,,1.0,70.0,1.0,300.0,569.0,,4.0,0.0,Excellent
3500 Hasselt,Apartment,Ground Floor,249000.0,for sale,2.0,97.0,,,,0.0,,1.0,,,,,,
1800 Vilvoorde,House,Residence,485000.0,for sale,4.0,145.0,,,,0.0,,1.0,,1168.0,,4.0,,
6536 Donstiennes,House,Residence,369000.0,for sale,3.0,200.0,,0.0,,1.0,25.0,1.0,320.0,445.0,,3.0,,Normal
8400 Oostende,Apartment,Apartment,187000.0,for sale,2.0,89.0,,,,1.0,3.0,0.0,,,,,,To be renovated
1180 Ukkel,Apartment,Studio,392500.0,for sale,3.0,50.0,,,0.0,1.0,4.0,0.0,,,,2.0,,New
5020 Vedrin,House,Residence,565000.0,for sale,4.0,230.0,0.0,,,1.0,,1.0,,2198.0,,4.0,,Excellent
9688 Schorisse,House,Mixed Building,650000.0,for sale,1.0,200.0,1.0,,,1.0,,1.0,,1222.0,,3.0,0.0,Excellent
8600 Diksmuide,House,Residence,585000.0,for sale,2.0,266.0,,,,,,,,1090.0,,4.0,,
8450 Bredene,House,Residence,135000.0,for sale,2.0,133.0,,,,1.0,,1.0,,105.0,,2.0,,
1850 Grimbergen,House,Mixed Building,1095000.0,for sale,5.0,978.0,,0.0,,1.0,,1.0,,1644.0,,3.0,0.0,
2850 Boom,Apartment,Apartment,349000.0,for sale,2.0,100.0,,0.0,,1.0,12.0,0.0,,,,,,New
2470 Retie,House,Residence,444000.0,for sale,3.0,171.0,,,,1.0,,1.0,,453.0,,3.0,0.0,New
1050 Elsene,Apartment,Apartment,650000.0,for sale,3.0,220.0,0.0,0.0,,1.0,,,,,,2.0,0.0,Excellent
6960 Grandmenil,House,Residence,346000.0,for sale,3.0,197.0,,0.0,,1.0,,1.0,,1562.0,,4.0,,
3870 Heers,House,Residence,139000.0,for sale,2.0,105.0,,,,0.0,,1.0,,570.0,,,,
8800 Roeselare,Apartment,Apartment,180000.0,for sale,2.0,76.0,,,,0.0,,0.0,,,,,,
1070 Anderlecht,Apartment,Apartment,215000.0,for sale,2.0,75.0,,0.0,,1.0,15.0,0.0,,,,,,Normal
1150 Sint Pieters Woluwe,House,Villa,3150000.0,for sale,7.0,600.0,0.0,0.0,,1.0,,1.0,,1367.0,,4.0,1.0,Excellent
2390 Malle,House,Residence,529900.0,for sale,4.0,240.0,,0.0,,0.0,,1.0,,840.0,,3.0,,Normal
2070 Burcht,House,Residence,495000.0,for sale,3.0,272.0,,,,0.0,,1.0,130.0,537.0,,4.0,,
9000 Gent,Apartment,Apartment,300000.0,for sale,1.0,91.0,1.0,,,0.0,,0.0,,,,2.0,0.0,Normal
5590 Ciney,House,Residence,299000.0,for sale,3.0,140.0,1.0,0.0,,1.0,20.0,1.0,584.0,584.0,,4.0,0.0,Normal
1082 Berchem Sainte Agathe,Apartment,Apartment,169000.0,for sale,1.0,55.0,0.0,0.0,,0.0,,0.0,,,,2.0,0.0,Normal
6670 Gouvy,House,Chalet,495000.0,for sale,2.0,168.0,1.0,1.0,,1.0,,1.0,,7185.0,,4.0,0.0,Normal
2300 Turnhout,Apartment,Penthouse,299000.0,for sale,2.0,88.0,0.0,0.0,,1.0,32.0,0.0,,,,3.0,0.0,Excellent
2000 Antwerp,Apartment,Apartment,315000.0,for sale,1.0,51.0,,,,1.0,10.0,0.0,,,,2.0,,
1030 Schaarbeek,Apartment,Apartment,255000.0,for sale,2.0,101.0,0.0,0.0,,1.0,,0.0,,,,,0.0,To renovate
1160 Oudergem,House,Residence,429000.0,for sale,3.0,130.0,,,,1.0,20.0,1.0,100.0,,,2.0,,Normal
3520 Zonhoven,House,Residence,885000.0,for sale,4.0,365.0,,,,1.0,40.0,1.0,,1233.0,,2.0,1.0,
1140 Evere,Apartment,Apartment,225000.0,for sale,2.0,100.0,,,,1.0,6.0,0.0,,,,2.0,,
8790 Waregem,House,Residence,498000.0,for sale,3.0,200.0,0.0,0.0,,1.0,,1.0,300.0,409.0,,3.0,0.0,New
1070 Anderlecht,Apartment,Apartment,195000.0,for sale,1.0,61.0,,0.0,,1.0,12.0,0.0,,,,2.0,0.0,Excellent
8470 Gistel,House,Residence,427409.0,for sale,4.0,187.0,1.0,,,1.0,,1.0,,305.0,,3.0,0.0,Excellent
6001 Marcinelle,House,Residence,179999.0,for sale,3.0,153.0,,0.0,,0.0,,1.0,35.0,111.0,,3.0,,Normal
9100 Sint Niklaas,Apartment,Apartment,370000.0,for sale,3.0,123.0,,,,1.0,33.0,1.0,,,,,,New
4000 Liege,House,Mixed Building,595000.0,for sale,5.0,150.0,1.0,0.0,,1.0,26.0,0.0,,459.0,,2.0,0.0,Normal
3650 Dilsen Stokkem,Apartment,Apartment,305009.0,for sale,2.0,98.0,,,,1.0,25.0,0.0,,,,,,
8370 Blankenberge,Apartment,Apartment,149000.0,for sale,1.0,50.0,,,,0.0,,0.0,,,,,,
9800 Deinze,House,Residence,378001.0,for sale,3.0,156.0,1.0,0.0,,0.0,,1.0,,303.0,,3.0,0.0,New
6900 Marche En Famenne,House,Residence,99000.0,for sale,1.0,130.0,,,,,,1.0,,1155.0,,4.0,,To be renovated
8890 Moorslede,Apartment,Apartment,165000.0,for sale,1.0,107.0,,0.0,,1.0,,0.0,,,,,,Normal
1430 Rebecq,House,Villa,395000.0,for sale,3.0,250.0,1.0,0.0,,1.0,,1.0,400.0,1098.0,,4.0,0.0,To be renovated
4800 Verviers,House,Residence,199000.0,for sale,3.0,189.0,,0.0,,1.0,,1.0,,241.0,,2.0,,
4257 Berloz,Apartment,Apartment,235000.0,for sale,2.0,104.0,,0.0,,1.0,13.0,1.0,72.0,,,2.0,,
5500 Dinant,Apartment,Apartment,220000.0,for sale,2.0,109.0,,0.0,0.0,0.0,,0.0,,,,,,To be renovated
