Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
6900 Marche En Famenne,House,Residence,50000.0,in public sale,2.0,105.0,,,,0.0,,1.0,400.0,556.0,,3.0,,To be renovated
1640 Sint Genesius Rode,House,Villa,799000.0,for sale,4.0,600.0,,,,,,,,4300.0,,4.0,,
2260 Westerlo,Apartment,Penthouse,499500.0,for sale,3.0,118.0,,0.0,,1.0,30.0,0.0,,,,4.0,,New
3680 Maaseik,Apartment,Apartment,310000.0,for sale,2.0,91.0,,,,1.0,11.0,,,,,,,
6860 Mellier,House,Residence,220000.0,for sale,1.0,334.0,,,,0.0,,1.0,798.0,898.0,,2.0,,To be renovated
1050 Elsene,Apartment,Apartment,345000.0,for sale,2.0,126.0,1.0,0.0,,1.0,3.0,0.0,,,,2.0,0.0,To renovate
2400 Mol,House,Residence,179500.0,for sale,2.0,,,,,,,,,,,,,
4800 Verviers,Apartment,Apartment,149000.0,for sale,2.0,110.0,1.0,0.0,,0.0,,1.0,,,,2.0,0.0,To be renovated
4960 Bellevaux Ligneuville,House,Residence,575000.0,for sale,5.0,268.0,1.0,,,1.0,,1.0,1539.0,1694.0,,4.0,0.0,Normal
7390 Quaregnon,House,Residence,54999.0,for sale,1.0,71.0,0.0,0.0,,1.0,20.0,0.0,,110.0,,2.0,0.0,To renovate
4020 Wandre,House,Residence,159000.0,for sale,3.0,112.0,1.0,,,1.0,,1.0,,210.0,,3.0,,
1120 Neder Over Heembeek,House,Residence,250000.0,for sale,3.0,100.0,0.0,0.0,,1.0,14.0,0.0,,,,2.0,,To be renovated
6900 Hargimont,Apartment,Duplex,139000.0,for sale,2.0,75.0,0.0,0.0,,0.0,,1.0,,,,2.0,0.0,Normal
1200 Sint Lambrechts Woluwe,Apartment,Apartment,265000.0,for sale,1.0,66.0,,0.0,,1.0,,0.0,,,,2.0,0.0,Normal
4420 Saint Nicolas,House,Residence,134000.0,for sale,2.0,98.0,,,,1.0,14.0,1.0,304.0,386.0,,2.0,,To renovate
4537 Verlaine,House,Residence,349000.0,for sale,4.0,182.0,,0.0,,1.0,,1.0,,1200.0,,,,New
1700 Dilbeek,Apartment,Apartment,269000.0,for sale,2.0,73.0,,0.0,,1.0,9.0,0.0,,,,4.0,,Normal
8450 Bredene,Apartment,Apartment,343000.0,for sale,2.0,,,,,1.0,6.0,0.0,,,,2.0,,New
4900 Spa,House,Residence,740000.0,for sale,3.0,322.0,,,,1.0,,1.0,,,,4.0,,
7090 Braine Le Comte,Apartment,Apartment,273900.0,for sale,2.0,93.0,,,,1.0,22.0,1.0,158.0,,,4.0,,
8300 Knokke Heist,Apartment,Apartment,1625000.0,for sale,3.0,112.0,,,,1.0,,0.0,,,,,,
1731 Zellik,Apartment,Apartment,179000.0,for sale,2.0,75.0,0.0,0.0,,1.0,6.0,0.0,,,,,,To renovate
