locality,property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,is_house,postal_code,wallonie_bx,building_state
4500 Huy,House,Residence,319000.0,4.0,236.0,0.0,0.0,1.0,0.0,1.0,841.0,1150.0,4.0,0.0,2.0,2.5,0.443,1,4500,1,4.0
9280 Lebbeke,House,Villa,1030000.0,5.0,308.0,0.0,0.0,1.0,0.0,1.0,0.0,2550.0,4.0,1.0,2.0,1.7,0.635,1,9280,0,6.0
4130 Tilff,House,Residence,270000.0,2.0,76.0,0.0,0.0,0.0,0.0,1.0,600.0,748.0,4.0,0.0,2.0,1.1,1.2,1,4130,1,5.0
9340 Lede,House,Residence,395000.0,5.0,343.0,0.0,0.0,1.0,0.0,1.0,0.0,312.0,2.0,0.0,3.0,0.959,0.24,1,9340,0,6.0
5560 Houyet,House,Residence,329000.0,3.0,159.0,1.0,0.0,1.0,0.0,1.0,756.0,756.0,4.0,0.0,1.0,4.3,1.9,1,5560,1,10.0
9200 Dendermonde,House,Residence,249000.0,3.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,2.707469745444429,0.0,2.0,0.956,0.523,1,9200,0,3.0
4000 Liege,House,Residence,260000.0,3.0,147.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,2.0,0.0,1.0,0.277,0.256,1,4000,1,4.0
4800 Verviers,Apartment,Apartment,340000.0,6.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.349,0.031,0,4800,1,6.0
9300 Aalst,House,Mixed Building,195000.0,2.0,245.0,1.0,0.0,1.0,16.0,0.0,0.0,100.0,2.0,0.0,2.0,0.981,0.14,1,9300,0,3.0
1180 Ukkel,Apartment,Apartment,275000.0,1.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.707469745444429,0.0,2.0,0.847,0.137,0,1180,1,5.0
1070 Anderlecht,House,Residence,315000.0,3.0,127.0,1.0,0.0,1.0,20.0,1.0,65.0,110.0,2.0,0.0,2.0,2.5,0.241,1,1070,1,4.0
9660 Brakel,House,Residence,329000.0,7.0,387.0,0.0,0.0,0.0,0.0,1.0,0.0,744.0,2.707469745444429,0.0,2.0,4.6,0.058,1,9660,0,4.0
9340 Lede,House,Residence,509000.0,3.0,181.0,1.0,0.0,1.0,32.0,1.0,263.0,396.0,3.0,0.0,2.0,3.0,0.071,1,9340,0,10.0
