locality,property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,is_house,postal_code,wallonie_bx,building_state
1300 Wavre,House,Residence,525000.0,4.0,158.0,1.0,0.0,1.0,30.0,1.0,530.0,1008.0,4.0,0.0,2.0,1.1,0.973,1,1300,1,4.0
6010 Couillet,House,Residence,205000.0,3.0,139.0,0.0,0.0,1.0,20.0,1.0,240.0,400.0,2.0,0.0,2.0,0.585,0.242,1,6010,1,8.0
1030 Schaarbeek,House,Mixed Building,599000.0,8.0,378.0,0.0,0.0,1.0,10.0,1.0,40.0,155.0,2.0,0.0,4.0,1.6,0.079,1,1030,1,6.0
6940 Durbuy,House,Residence,375000.0,5.0,185.0,1.0,0.0,1.0,0.0,1.0,0.0,1015.0,4.0,0.0,4.0,1.7,0.747,1,6940,1,6.0
8370 Blankenberge,Apartment,Apartment,315000.0,2.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.4,0.036,0,8370,0,6.0
9000 Gent,Apartment,Apartment,379000.0,1.0,97.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,2.707469745444429,0.0,2.0,3.3,0.048,0,9000,0,10.0
3650 Dilsen-Stokkem,Apartment,Apartment,373784.0,2.0,124.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,2.472569206067988,0.171,0,3650,0,5.0
6560 Erquelinnes,House,Residence,110000.0,4.0,105.0,0.0,0.0,1.0,0.0,1.0,10.0,120.0,2.707469745444429,0.0,1.0,0.534,0.165,1,6560,1,5.0
9200 Dendermonde,House,Residence,540000.0,3.0,216.0,0.0,0.0,0.0,0.0,1.0,120.0,200.0,2.707469745444429,0.0,2.0,3.2,0.158,1,9200,0,6.0
8670 Koksijde,Apartment,Duplex,320000.0,2.0,98.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,5.3,0.353,0,8670,0,5.0
1030 Schaarbeek,Apartment,Apartment,290000.0,5.0,185.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.88,0.033,0,1030,1,6.0
5140 Sombreffe,House,Mixed Building,299000.0,3.0,197.0,1.0,0.0,1.0,42.0,1.0,1757.0,1954.0,3.0,0.0,3.0,2.1,0.016,1,5140,1,9.0
1410 Waterloo,House,Residence,725000.0,5.0,298.0,1.0,0.0,1.0,0.0,1.0,645.0,745.0,3.0,0.0,2.0,1.6,0.267,1,1410,1,6.0
3545 Halen,House,Residence,230000.0,2.0,175.0,0.0,0.0,0.0,0.0,1.0,0.0,570.0,2.0,0.0,1.0,9.5,0.038,1,3545,0,5.0
7700 Mouscron,House,Mixed Building,2919475.0,24.0,850.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,1.5,0.1,1,7700,1,10.0
5140 Sombreffe,House,Residence,99900.0,4.0,106.0,1.0,0.0,1.0,50.0,1.0,260.0,423.0,3.0,0.0,1.0,3.5,0.263,1,5140,1,4.0
8470 Gistel,House,Residence,430000.0,3.0,195.0,0.0,0.0,0.0,0.0,1.0,0.0,3069.0,4.0,0.0,2.0,2.472569206067988,0.219,1,8470,0,5.0
8470 Gistel,House,Residence,392500.0,3.0,184.0,1.0,0.0,1.0,0.0,1.0,0.0,318.0,3.0,0.0,2.0,10.4,0.34,1,8470,0,10.0
6220 Fleurus,Apartment,Apartment,85000.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.586,0.309,0,6220,1,4.0
1090 Jette,Apartment,Penthouse,340000.0,2.0,106.0,0.0,0.0,1.0,110.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.084,0,1090,1,9.0
2820 Bonheiden,House,Residence,938275.0,4.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,2110.0,4.0,0.0,2.0,5.1,0.845,1,2820,0,10.0
1080 Sint-Jans-Molenbeek,Apartment,Apartment,190000.0,2.0,81.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,1.1,0.087,0,1080,1,6.0
9290 Berlare,House,Residence,449000.0,3.0,161.0,1.0,0.0,1.0,44.0,1.0,200.0,385.0,3.0,0.0,2.0,1.4,0.118,1,9290,0,9.0
9230 Wetteren,House,Residence,275000.0,4.0,140.0,1.0,0.0,0.0,0.0,1.0,32.0,130.0,2.0,0.0,2.0,0.518,0.045,1,9230,0,5.0
1020 Laken,Apartment,Apartment,180000.0,1.0,50.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0,1.0,3.1,0.265,0,1020,1,6.0
9500 Geraardsbergen,House,Residence,139000.0,3.0,180.0,1.0,0.0,1.0,30.0,1.0,160.0,330.0,2.0,0.0,1.0,0.798,0.369,1,9500,0,5.0
9100 Sint-Niklaas,Apartment,Apartment,219000.0,3.0,105.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,2.8,0.399,0,9100,0,6.0
4180 Hamoir,House,Residence,413742.0,3.0,184.0,0.0,0.0,0.0,0.0,1.0,0.0,905.0,4.0,0.0,2.0,2.5,2.8,1,4180,1,10.0
1370 Jodoigne,Apartment,Apartment,165000.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.472569206067988,0.197,0,1370,1,5.0
1180 Ukkel,House,Residence,775000.0,5.0,195.0,1.0,0.0,1.0,15.0,1.0,0.0,90.0,2.0,0.0,2.0,0.277,0.187,1,1180,1,6.0
2570 Duffel,Apartment,Apartment,382500.0,1.0,108.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,0.814,0.108,0,2570,0,10.0
4020 Liege,Apartment,Apartment,219000.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,1.5,0.301,0,4020,1,8.0
9000 Gent,Apartment,Apartment,379000.0,2.0,88.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,2.707469745444429,0.0,2.0,3.3,0.048,0,9000,0,10.0
2970 Schilde,House,Residence,797705.0,4.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,2682.0,4.0,0.0,2.0,2.472569206067988,0.038,1,2970,0,10.0
1190 Vorst,Apartment,Ground Floor,350000.0,1.0,85.0,1.0,0.0,1.0,0.0,1.0,70.0,0.0,2.0,0.0,1.0,0.9,0.113,0,1190,1,4.0
5300 Andenne,House,Residence,319000.0,2.0,125.0,0.0,0.0,1.0,89.0,1.0,0.0,1256.0,2.707469745444429,0.0,2.0,3.3,1.9,1,5300,1,6.0
7000 Mons,Apartment,Apartment,85000.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.1,0.232,0,7000,1,4.0
2861 Onze-Lieve-Vrouw-Waver,House,Mixed Building,985000.0,5.0,468.0,1.0,0.0,1.0,0.0,1.0,0.0,919.0,4.0,0.0,5.0,7.1,0.218,1,2861,0,9.0
9000 Gent,House,Residence,459000.0,3.0,123.0,0.0,0.0,1.0,39.0,1.0,0.0,162.0,2.0,0.0,2.0,3.3,0.048,1,9000,0,10.0
3580 Beringen,House,Residence,510000.0,6.0,264.0,0.0,0.0,0.0,0.0,1.0,0.0,427.0,3.0,0.0,2.0,1.2,0.246,1,3580,0,5.0
3970 Leopoldsburg,House,Residence,449000.0,3.0,219.0,0.0,0.0,0.0,0.0,1.0,0.0,1400.0,4.0,0.0,2.0,2.7,0.132,1,3970,0,6.0
4000 Liege,House,Residence,289000.0,4.0,144.0,0.0,0.0,1.0,0.0,1.0,135.0,525.0,2.0,0.0,2.0,1.7,0.757,1,4000,1,9.0
9032 Wondelgem,House,Residence,369000.0,3.0,113.0,0.0,0.0,1.0,0.0,1.0,312.0,366.0,2.0,0.0,2.0,1.4,0.223,1,9032,0,5.0
1970 Wezembeek-Oppem,House,Residence,620000.0,4.0,206.0,1.0,0.0,1.0,37.0,1.0,240.0,0.0,3.0,0.0,3.0,6.6,0.234,1,1970,0,5.0
9880 Aalter,House,Villa,765000.0,4.0,280.0,1.0,0.0,1.0,0.0,0.0,0.0,499.0,4.0,0.0,2.0,0.767,0.158,1,9880,0,10.0
8530 Harelbeke,House,Residence,407200.0,3.0,159.0,1.0,0.0,1.0,13.0,1.0,52.0,181.0,3.0,0.0,2.0,0.779,0.18,1,8530,0,10.0
1160 Oudergem,House,Residence,195000.0,3.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,2.707469745444429,0.0,2.0,0.64,0.113,1,1160,1,5.0
2100 Deurne,House,Residence,324900.0,5.0,168.0,0.0,0.0,0.0,0.0,1.0,80.0,135.0,2.707469745444429,0.0,2.0,2.0,0.344,1,2100,0,6.0
9300 Aalst,Apartment,Apartment,449000.0,4.0,185.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.4,0.258,0,9300,0,9.0
1160 Oudergem,Apartment,Apartment,235000.0,1.0,66.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.7,0.065,0,1160,1,4.0
5000 Namur,Apartment,Apartment,149000.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.5,0.14,0,5000,1,5.0
4000 Liege,Apartment,Duplex,169000.0,1.0,83.0,1.0,0.0,1.0,20.0,0.0,0.0,0.0,2.0,0.0,1.0,0.72,0.099,0,4000,1,10.0
6760 Virton,House,Residence,350000.0,3.0,220.0,1.0,0.0,0.0,0.0,0.0,0.0,173.0,2.0,0.0,6.0,1.3,0.197,1,6760,1,6.0
8790 Waregem,Apartment,Duplex,265000.0,1.0,99.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,1.4,0.134,0,8790,0,10.0
1730 Asse,Apartment,Duplex,295000.0,2.0,100.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.681,0.159,0,1730,0,9.0
8770 Ingelmunster,House,Residence,369000.0,3.0,143.0,0.0,0.0,1.0,0.0,1.0,0.0,331.0,3.0,0.0,2.0,1.7,0.738,1,8770,0,9.0
1180 Ukkel,House,Residence,689000.0,4.0,180.0,0.0,0.0,1.0,0.0,1.0,168.0,240.0,2.0,0.0,2.0,0.421,0.125,1,1180,1,4.0
4430 Ans,House,Residence,195000.0,3.0,131.0,1.0,0.0,1.0,5.0,1.0,70.0,153.0,2.0,0.0,2.0,2.4,0.123,1,4430,1,9.0
2800 Mechelen,Apartment,Apartment,265000.0,2.0,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,1.1,0.107,0,2800,0,6.0
1050 Elsene,Apartment,Apartment,560000.0,3.0,199.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,2.707469745444429,0.0,3.0,0.995,0.239,0,1050,1,5.0
3640 Kinrooi,Apartment,Apartment,287000.0,2.0,110.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,2.472569206067988,0.273,0,3640,0,10.0
5350 Ohey,House,Residence,249000.0,2.0,166.0,1.0,0.0,1.0,0.0,1.0,680.0,609.0,3.0,0.0,1.0,2.472569206067988,0.012,1,5350,1,6.0
5340 Gesves,House,Residence,475000.0,3.0,170.0,0.0,0.0,1.0,30.0,1.0,800.0,1042.0,4.0,0.0,3.0,5.5,0.191,1,5340,1,10.0
1190 Vorst,House,Residence,450000.0,7.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,5.0,1.4,0.18,1,1190,1,6.0
1030 Schaarbeek,House,Mixed Building,1200000.0,5.0,452.0,1.0,0.0,1.0,0.0,1.0,295.0,515.0,2.0,0.0,3.0,1.1,0.148,1,1030,1,4.0
6700 Arlon,Apartment,Ground Floor,335000.0,2.0,89.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,1.3,0.302,0,6700,1,5.0
1790 Affligem,House,Residence,429000.0,2.0,190.0,1.0,0.0,1.0,40.0,1.0,400.0,790.0,3.0,0.0,3.0,2.6,0.011,1,1790,0,8.0
9140 Temse,Apartment,Apartment,319000.0,3.0,127.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,0.452,0.049,0,9140,0,6.0
8300 Knokke-Heist,Apartment,Apartment,649000.0,2.0,125.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,1.2,1.0,0,8300,0,5.0
1170 Watermaal-Bosvoorde,House,Residence,749000.0,4.0,160.0,0.0,0.0,1.0,0.0,1.0,90.0,308.0,2.0,0.0,3.0,1.1,0.101,1,1170,1,6.0
1000 Brussels,Apartment,Apartment,1320000.0,3.0,210.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,2.0,0.0,3.0,0.34,0.08,0,1000,1,9.0
4820 Dison,Apartment,Duplex,189000.0,3.0,112.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.6,0.041,0,4820,1,8.0
3582 Koersel,House,Residence,309000.0,4.0,205.0,0.0,0.0,0.0,0.0,1.0,0.0,535.0,3.0,0.0,2.0,1.5,0.284,1,3582,0,10.0
4684 Haccourt,House,Residence,235000.0,3.0,175.0,0.0,0.0,1.0,0.0,1.0,0.0,353.0,2.0,0.0,1.0,2.7,0.361,1,4684,1,5.0
8210 Zedelgem,Apartment,Apartment,387055.0,2.0,101.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,2.0,0.0,1.0,3.2,0.49,0,8210,0,6.0
1000 Brussels,House,Residence,895000.0,2.0,170.0,0.0,0.0,1.0,30.0,0.0,0.0,66.0,3.0,0.0,2.0,0.752,0.148,1,1000,1,10.0
2300 Turnhout,Apartment,Apartment,242000.0,1.0,79.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,1.3,0.167,0,2300,0,10.0
