property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,postal_code,wallonie_bx,building_state
House,Residence,695000.0,3.0,623.0,0.0,0.0,1.0,0.0,1.0,0.0,3300.0,4.0,0.0,4.0,2.3,0.32696615201900237,9500,0,3.0
House,Residence,350000.0,2.0,150.0,1.0,0.0,1.0,0.0,1.0,0.0,1619.0,4.0,0.0,2.0,2.3,0.76,1450,1,4.0
House,Residence,390000.0,4.0,221.0,0.0,0.0,1.0,0.0,1.0,0.0,1513.0,4.0,0.0,1.0,4.5,0.249,3900,0,4.0
House,Residence,419000.0,5.0,200.0,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,4.0,0.0,2.0,2.7,0.079,7100,1,6.0
House,Residence,645000.0,6.0,291.0,1.0,0.0,1.0,0.0,1.0,524.0,655.0,3.0,1.0,3.0,2.7,0.106,1420,1,9.0
House,Residence,135000.0,4.0,143.0,1.0,0.0,1.0,0.0,1.0,0.0,418.0,2.0,0.0,1.0,2.0,0.084,6200,1,3.0
Apartment,Apartment,1175000.0,8.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,2.6,0.49,1780,0,5.0
Apartment,Apartment,585000.0,2.0,100.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,4.0,1.7,0.082,1200,1,10.0
House,Residence,468923.0,4.0,167.0,0.0,0.0,1.0,0.0,1.0,0.0,128.0,2.0,0.0,2.0,6.7,0.123,9041,0,5.0
House,Residence,572351.0,3.0,138.0,0.0,0.0,0.0,0.0,1.0,0.0,369.0,3.0,0.0,2.0,2.472569206067988,0.038,2970,0,10.0
House,Residence,1199000.0,3.0,226.0,1.0,0.0,1.0,60.0,1.0,4410.0,7100.0,4.0,1.0,3.0,3.5,0.171,1000,1,9.0
Apartment,Penthouse,590000.0,3.0,167.0,0.0,0.0,1.0,31.0,1.0,0.0,0.0,2.707469745444429,0.0,1.0,9.9,0.628,9180,0,10.0
Apartment,Apartment,755000.0,2.0,119.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.271,1200,1,10.0
Apartment,Apartment,349000.0,3.0,168.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.3,0.453,1030,1,6.0
Apartment,Apartment,290000.0,3.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,0.758,0.855,1030,1,4.0
Apartment,Apartment,377000.0,2.0,114.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,1.6,0.61,8700,0,5.0
Apartment,Loft,325000.0,2.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.2,0.239,1070,1,6.0
Apartment,Apartment,399000.0,2.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,0.48,0.32696615201900237,8300,0,5.0
House,Residence,295000.0,3.0,184.0,0.0,0.0,1.0,0.0,1.0,116.0,224.0,4.0,0.0,1.0,0.685,1.0,2845,0,6.0
Apartment,Apartment,289000.0,2.0,115.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,2.2,0.067,9300,0,9.0
Apartment,Apartment,320000.0,1.0,75.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,3.4,0.406,1150,1,4.0
Apartment,Apartment,225000.0,2.0,85.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.3,0.241,1480,1,5.0
Apartment,Apartment,595000.0,3.0,146.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,2.0,0.0,3.0,0.847,0.137,1180,1,6.0
House,Residence,519400.0,3.0,255.0,0.0,0.0,0.0,0.0,1.0,0.0,3962.0,4.0,0.0,2.0,2.472569206067988,0.845,6590,1,10.0
House,Residence,140000.0,4.0,258.0,1.0,0.0,1.0,0.0,1.0,687.0,1030.0,3.0,0.0,1.0,3.1,0.031,7300,1,4.0
Apartment,Apartment,185000.0,3.0,112.0,1.0,0.0,1.0,19.0,0.0,0.0,0.0,2.0,0.0,2.0,1.3,0.166,4040,1,6.0
House,Villa,779000.0,5.0,320.0,1.0,0.0,1.0,0.0,1.0,0.0,660.0,4.0,1.0,2.0,1.8,0.004,1770,0,9.0
Apartment,Apartment,545000.0,2.0,91.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,2.1,0.429,1160,1,10.0
House,Residence,369000.0,3.0,123.0,0.0,0.0,1.0,0.0,1.0,0.0,590.0,4.0,0.0,2.0,0.825,0.168,3550,0,6.0
House,Residence,400000.0,3.0,175.0,1.0,0.0,1.0,18.0,1.0,741.0,906.0,4.0,0.0,2.0,2.0,0.107,1400,1,6.0
House,Residence,169000.0,3.0,120.0,0.0,0.0,1.0,45.0,1.0,60.0,216.0,3.0,0.0,2.0,0.499,0.269,4480,1,4.0
Apartment,Apartment,210000.0,2.0,73.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.2,0.177,1081,1,6.0
House,Residence,460000.0,3.0,248.0,0.0,0.0,0.0,0.0,1.0,0.0,627.0,2.0,0.0,2.0,2.7,0.25,1650,0,5.0
Apartment,Apartment,550000.0,2.0,130.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,0.416,0.058,1000,1,6.0
Apartment,Apartment,895000.0,2.0,120.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.271,1200,1,10.0
House,Mixed Building,345000.0,3.0,375.0,1.0,0.0,1.0,0.0,0.0,0.0,195.0,2.0,0.0,3.0,3.5,0.188,8530,0,6.0
House,Residence,599000.0,4.0,300.0,1.0,0.0,1.0,0.0,1.0,0.0,1661.0,4.0,0.0,2.0,5.6,0.517,2235,0,5.0
House,Residence,650000.0,4.0,222.0,0.0,0.0,1.0,22.0,1.0,0.0,3283.0,4.0,0.0,2.0,1.3,0.045,1570,0,6.0
House,Residence,230000.0,4.0,171.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.213,0.07,4020,1,3.0
Apartment,Studio,95000.0,1.0,36.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,1.1,0.161,4040,1,8.0
House,Residence,140000.0,2.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,2.0,0.0,1.0,3.3,0.322,6140,1,5.0
House,Residence,749000.0,6.0,437.0,0.0,0.0,1.0,0.0,1.0,0.0,4679.0,4.0,0.0,4.0,8.0,0.101,2380,0,5.0
House,Residence,230000.0,3.0,145.0,0.0,0.0,1.0,0.0,0.0,0.0,251.0,4.0,0.0,2.0,2.472569206067988,0.236,3650,0,5.0
House,Bungalow,349000.0,3.0,162.0,0.0,0.0,1.0,0.0,1.0,0.0,774.0,2.707469745444429,0.0,2.0,4.3,0.739,4680,1,6.0
House,Residence,443772.0,4.0,206.0,0.0,0.0,0.0,0.0,1.0,0.0,1006.0,3.0,0.0,2.0,2.8,0.635,4400,1,10.0
Apartment,Penthouse,925000.0,3.0,165.0,0.0,0.0,1.0,126.0,0.0,0.0,0.0,3.0,0.0,4.0,1.5,0.65,1180,1,10.0
Apartment,Apartment,315400.0,2.0,103.0,1.0,0.0,1.0,16.0,1.0,38.0,0.0,2.707469745444429,0.0,1.0,0.23,0.01,6900,1,5.0
House,Residence,312900.0,3.0,117.0,0.0,0.0,1.0,0.0,1.0,0.0,392.0,3.0,0.0,2.0,1.6,0.264,1700,0,6.0
Apartment,Studio,225000.0,1.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,8.1,0.071,8420,0,6.0
House,Residence,588000.0,6.0,310.0,0.0,0.0,1.0,0.0,1.0,0.0,800.0,2.707469745444429,0.0,3.0,3.8,0.079,1780,0,4.0
Apartment,Apartment,345000.0,4.0,54.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.784,0.148,1040,1,10.0
Apartment,Apartment,280000.0,2.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.1,0.084,1210,1,5.0
House,Residence,375000.0,5.0,262.0,0.0,0.0,1.0,0.0,1.0,0.0,262.0,2.707469745444429,0.0,2.0,1.5,0.124,9120,0,8.0
Apartment,Apartment,365000.0,1.0,64.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,0.759,0.603,9000,0,5.0
House,Villa,483500.0,3.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,3.0,0.0,2.0,5.6,2.9,2400,0,10.0
House,Residence,1395000.0,3.0,240.0,0.0,0.0,1.0,135.0,1.0,900.0,1000.0,3.0,0.0,4.0,2.6,0.278,1180,1,5.0
House,Mixed Building,425000.0,4.0,190.0,0.0,0.0,1.0,3.0,0.0,0.0,70.0,2.0,0.0,4.0,0.9,0.113,1190,1,4.0
House,Residence,439000.0,5.0,266.0,1.0,0.0,1.0,0.0,1.0,0.0,788.0,4.0,0.0,2.0,4.2,0.038,3590,0,6.0
Apartment,Apartment,542771.0,3.0,139.0,1.0,0.0,1.0,49.0,0.0,0.0,0.0,4.0,0.0,2.0,0.424,0.162,3740,0,10.0
