locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km
7503 Froyennes,House,Residence,169000,for sale,4.0,122.0,None,0.0,1.0,None,1.0,None,None,2.0,None,To be renovated,1.0,1.1,0.241
8370 Blankenberge,House,Residence,330000,for sale,4.0,173.0,None,None,1.0,None,0.0,None,110.0,None,None,To be renovated,None,0.636,0.143
4300 Waremme,Apartment,Apartment,339000,for sale,3.0,136.0,None,0.0,1.0,20.0,1.0,550.0,None,2.0,None,None,2.0,1.4,0.468
9300 Aalst,House,Residence,799000,for sale,5.0,219.0,None,0.0,1.0,None,1.0,None,624.0,3.0,None,Normal,2.0,1.5,0.644
7880 Flobecq,House,Villa,695000,for sale,4.0,274.0,1.0,0.0,1.0,None,1.0,1500.0,1500.0,4.0,0.0,Fully renovated,None,7.6,0.193
8300 Knokke-Heist,House,Residence,None,for sale,4.0,204.0,None,None,1.0,None,1.0,None,432.0,4.0,None,None,2.0,None,None
8700 Tielt,Apartment,Apartment,295000,for sale,2.0,80.0,1.0,None,0.0,None,0.0,None,None,None,None,New,1.0,0.394,0.28
7520 Templeuve,House,Residence,109000,for sale,2.0,None,1.0,0.0,0.0,None,0.0,None,120.0,3.0,0.0,Normal,1.0,4.5,0.036
7170 Bellecourt,House,Residence,337372,for sale,4.0,196.0,None,None,0.0,None,1.0,246.0,320.0,2.0,None,New,2.0,3.3,0.121
1410 Waterloo,Apartment,Apartment,345000,for sale,1.0,60.0,1.0,1.0,1.0,None,None,None,None,None,1.0,Excellent,1.0,1.6,0.267
6983 Ortho,House,Residence,95000,for sale,1.0,77.0,None,1.0,0.0,None,1.0,407.0,407.0,4.0,0.0,To be renovated,1.0,None,0.403
8300 Knokke,Apartment,Apartment,530000,for sale,4.0,114.0,1.0,None,1.0,None,0.0,None,None,3.0,None,To be renovated,1.0,0.831,0.402
8000 Brugge,Apartment,Apartment,255000,for sale,2.0,70.0,None,0.0,1.0,None,1.0,None,None,3.0,0.0,Normal,1.0,0.604,0.2
6040 Jumet,House,Residence,90000,for sale,3.0,135.0,None,None,0.0,None,0.0,None,198.0,3.0,None,To be renovated,None,3.0,0.12
3000 Leuven,Apartment,Studio,180000,for sale,1.0,22.0,None,0.0,0.0,None,0.0,None,None,2.0,None,None,1.0,2.3,0.19
