Zip Code,Municipality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Number of facades,Swimming pool,State of the building,price_per_m2,Region,building_state_encoded
1300,Wavre,Apartment,Studio,145000.0,for sale,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,4142.857142857143,Wallonia,
6600,Bastogne,House,Residence,730000.0,for sale,4.0,746.0,0.0,0.0,0.0,0.0,1.0,,14738.0,,0.0,Normal,978.5522788203754,Wallonia,5.0
8670,Koksijde,Apartment,Apartment,590877.0,for sale,2.0,105.0,0.0,0.0,1.0,16.0,0.0,0.0,,2.0,0.0,New,5627.4,Flanders,9.0
4140,Dolembreux,House,Master House,949000.0,for sale,5.0,536.0,0.0,0.0,1.0,,1.0,,1363.0,,1.0,Fully renovated,1770.5223880597016,Wallonia,7.0
1180,Ukkel,Apartment,Apartment,749000.0,for sale,3.0,203.0,0.0,0.0,1.0,,1.0,30.0,,2.0,0.0,,3689.655172413793,Brussels,
1745,Opwijk,House,Residence,475000.0,for sale,3.0,176.0,0.0,0.0,1.0,13.0,1.0,270.0,424.0,,0.0,Normal,2698.8636363636365,Flanders,5.0
8800,Roeselare,House,Residence,299000.0,for sale,2.0,,0.0,0.0,1.0,,0.0,0.0,,2.0,0.0,,,Flanders,
6042,Lodelinsart,House,Residence,199000.0,for sale,3.0,160.0,0.0,0.0,1.0,21.0,1.0,70.0,181.0,3.0,0.0,Normal,1243.75,Wallonia,5.0
9080,Lochristi,House,Residence,598000.0,for sale,4.0,175.0,0.0,0.0,1.0,,1.0,,749.0,4.0,0.0,Excellent,3417.1428571428573,Flanders,8.0
2160,Wommelgem,Apartment,Apartment,235000.0,for sale,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2611.1111111111113,Flanders,
8560,Wevelgem,Apartment,Apartment,229000.0,for sale,1.0,76.0,0.0,0.0,1.0,20.0,1.0,,,2.0,0.0,New,3013.157894736842,Flanders,9.0
1020,Laken,Apartment,Apartment,135000.0,for sale,,32.0,0.0,0.0,1.0,8.0,0.0,0.0,,2.0,0.0,,4218.75,Brussels,
5080,La Bruyere,House,Residence,435000.0,for sale,4.0,202.0,1.0,0.0,1.0,30.0,1.0,1332.0,1332.0,4.0,0.0,Normal,2153.4653465346537,Wallonia,5.0
2170,Merksem,Apartment,Apartment,179000.0,for sale,2.0,85.0,0.0,0.0,1.0,9.0,0.0,0.0,,,0.0,,2105.8823529411766,Flanders,
6031,Monceau Sur Sambre,House,Residence,99000.0,for sale,2.0,80.0,0.0,0.0,0.0,0.0,1.0,,435.0,2.0,0.0,To be renovated,1237.5,Wallonia,4.0
1770,Liedekerke,House,Residence,469000.0,for sale,3.0,160.0,0.0,0.0,1.0,13.0,1.0,178.0,2500.0,3.0,0.0,New,2931.25,Flanders,9.0
1600,Sint Pieters Leeuw,House,Residence,1290000.0,for sale,4.0,393.0,0.0,0.0,1.0,45.0,1.0,1698.0,2515.0,4.0,1.0,To renovate,3282.442748091603,Flanders,3.0
3520,Zonhoven,House,Residence,459621.0,for sale,3.0,158.0,0.0,0.0,1.0,17.0,1.0,,372.0,3.0,0.0,New,2908.993670886076,Flanders,9.0
7500,Tournai,Apartment,Apartment,535000.0,for sale,3.0,166.0,1.0,0.0,1.0,34.0,0.0,0.0,,,0.0,New,3222.89156626506,Wallonia,9.0
4650,Herve,Apartment,Apartment,150000.0,for sale,1.0,75.0,0.0,0.0,1.0,30.0,0.0,0.0,,2.0,0.0,To be renovated,2000.0,Wallonia,4.0
6900,Marche En Famenne,House,Residence,190000.0,in public sale,8.0,,0.0,0.0,0.0,0.0,1.0,,245.0,2.0,0.0,To be renovated,,Wallonia,4.0
3000,Leuven,House,Residence,795000.0,for sale,9.0,356.0,0.0,0.0,1.0,60.0,1.0,,165.0,,0.0,,2233.14606741573,Flanders,
1040,Etterbeek,Apartment,Apartment,875000.0,for sale,3.0,180.0,0.0,0.0,1.0,12.0,0.0,0.0,,2.0,0.0,Normal,4861.111111111111,Brussels,5.0
6460,Chimay,House,Master House,235000.0,for sale,8.0,358.0,0.0,0.0,1.0,57.0,0.0,0.0,380.0,4.0,0.0,To be renovated,656.4245810055866,Wallonia,4.0
2610,Wilrijk,Apartment,Apartment,249000.0,for sale,1.0,108.0,0.0,0.0,1.0,,1.0,140.0,,2.0,0.0,Normal,2305.5555555555557,Flanders,5.0
4000,Liege,Apartment,Apartment,380000.0,for sale,3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,Normal,2714.285714285714,Wallonia,5.0
2960,Brecht,House,Residence,750000.0,for sale,3.0,230.0,0.0,0.0,1.0,,1.0,,653.0,3.0,0.0,Excellent,3260.8695652173915,Flanders,8.0
4837,Baelen,House,Residence,479000.0,for sale,3.0,119.0,1.0,0.0,1.0,27.0,1.0,333.0,410.0,3.0,1.0,Normal,4025.2100840336134,Wallonia,5.0
1390,Grez Doiceau,House,Residence,349000.0,for sale,3.0,130.0,0.0,0.0,1.0,55.0,1.0,969.0,1245.0,3.0,0.0,,2684.6153846153848,Wallonia,
1740,Ternat,House,Residence,795000.0,for sale,4.0,760.0,0.0,0.0,1.0,,1.0,,1790.0,4.0,0.0,Normal,1046.0526315789473,Flanders,5.0
4800,Verviers,House,Residence,79900.0,for sale,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,Normal,1736.9565217391305,Wallonia,5.0
