locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km,price_per_m2,postal_code,region,outlier_flag,avg_price_locality,building_state_encoded
1020 Laken,Apartment,Apartment,399000.0,for sale,3.0,133.0,1.0,,1.0,11.0,0.0,0.0,,2.0,0.0,New,2.0,0.821,0.43,3000.0,1020,Brussels,False,365163.6,9.0
2560 Nijlen,Apartment,Apartment,315000.0,for sale,2.0,96.0,0.0,,1.0,18.0,1.0,,,3.0,0.0,New,1.0,0.185,0.124,3281.25,2560,Flanders,False,427216.0,9.0
4590 Ouffet,House,Villa,475000.0,for sale,3.0,172.0,1.0,0.0,1.0,47.0,1.0,2842.0,3066.0,4.0,0.0,Excellent,2.0,6.3,0.622,2761.63,4590,Wallonia,False,392892.7,8.0
1180 Ukkel,Apartment,Apartment,645000.0,for sale,3.0,153.0,1.0,0.0,1.0,15.0,0.0,0.0,,2.0,0.0,Normal,2.0,1.1,0.147,4215.69,1180,Brussels,False,789638.4,5.0
7370 Dour,House,Residence,240000.0,for sale,4.0,248.0,0.0,0.0,1.0,37.0,1.0,135.0,340.0,3.0,0.0,To renovate,2.0,4.3,0.42,967.74,7370,Wallonia,False,186181.5,3.0
6940 Durbuy,House,Residence,585000.0,for sale,5.0,309.0,0.0,0.0,1.0,37.0,1.0,1078.0,1218.0,4.0,1.0,,2.0,6.7,0.184,1893.2,6940,Wallonia,False,358881.0,
9890 Gavere,Apartment,Duplex,447375.0,for sale,3.0,148.0,1.0,0.0,1.0,11.0,0.0,0.0,,4.0,0.0,New,1.0,1.7,0.259,3022.8,9890,Flanders,False,412963.7,9.0
1210 Sint-Joost-ten-Node,Apartment,Apartment,140000.0,for sale,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,To be renovated,1.0,0.892,0.129,3255.81,1210,Brussels,False,455602.1,4.0
5100 Dave,Apartment,Apartment,189000.0,for sale,2.0,104.0,0.0,,1.0,,0.0,0.0,,2.0,0.0,Normal,1.0,1.7,0.151,1817.31,5100,Wallonia,False,334000.0,5.0
8400 Oostende,Apartment,Apartment,499000.0,for sale,2.0,98.0,0.0,,1.0,24.0,0.0,0.0,,3.0,0.0,Excellent,1.0,2.2,0.83,5091.84,8400,Flanders,False,319670.9,8.0
